Profit,Equity DD %,Trades,TP,VL,percentageToEnter
548.82,36.51,7,2900,3.3,-0.8
547.29,52.58,7,3100,3.9,-1
546.81,64.08,7,3300,3.7,-0.9
518.79,34.24,7,2900,3.1,-0.9
515.54,41.45,7,2500,3.7,-0.8
506.18,36.61,7,2700,3.3,-0.9
479.22,59.95,7,3900,3.5,-0.7
455.72,57.05,7,3900,3.3,-0.8
435.34,35.52,7,2500,3.1,-0.9
432.59,45.81,6,3300,3.3,-1.3
431.99,36.13,7,2500,3.1,-0.8
427.73,54.11,7,3900,3.1,-0.8
413.78,38.74,7,2300,3.3,-0.8
406.19,43.41,6,3300,3.1,-1.3
384.67,72.03,7,3300,4.1,-0.6
363.57,35.84,7,2300,2.9,-0.7
331.79,44.04,6,2900,3.1,-1.3
324.94,41.45,7,1900,3.3,-0.7
321.25,38.73,6,3100,2.7,-1.3
317.35,48.21,6,2700,3.3,-1.1
310.00,45.19,7,3700,2.5,-0.8
294.63,31.08,7,3100,2.1,-1
285.51,55.36,6,2300,3.9,-1.2
266.71,97.72,8,3500,4.1,-0.4
264.09,44.60,6,2500,3.1,-1.3
256.73,44.79,7,1300,3.7,-1
254.52,40.30,6,1500,3.5,-1.2
253.04,49.87,7,3300,2.7,-0.6
248.83,33.87,6,2900,2.3,-1.2
244.53,76.93,8,3700,3.1,-0.4
233.38,78.19,7,4100,3.1,-0.5
231.48,22.82,7,3300,1.5,-1
228.98,44.73,7,1500,3.3,-0.6
225.96,87.36,7,3900,3.5,-0.5
221.76,28.61,7,3300,1.5,-0.9
219.20,32.29,7,1700,2.5,-0.8
210.70,47.59,7,2500,2.5,-0.6
209.41,54.12,7,1100,4.1,-0.7
200.61,49.96,8,4100,1.9,-0.4
199.89,29.11,7,1900,2.1,-0.6
198.18,22.64,6,3300,1.5,-1.2
193.21,24.94,7,1900,1.9,-0.8
190.41,98.07,8,2500,3.9,-0.3
182.04,60.07,8,3700,2.3,-0.4
178.89,31.35,6,2500,2.1,-1.3
178.32,52.20,7,900,3.9,-0.7
171.91,19.80,6,3300,1.3,-1.2
171.00,28.06,6,3700,1.5,-1.3
169.86,39.80,7,3100,2.1,-0.6
169.54,31.32,7,1500,2.3,-0.7
166.07,49.64,6,1900,3.3,-1.1
161.40,65.98,7,3900,2.5,-0.5
148.68,50.42,7,900,3.5,-0.5
143.99,20.82,6,1700,1.7,-1.3
140.01,26.32,7,1500,1.9,-0.7
138.46,90.13,8,3100,3.5,-0.4
132.60,41.27,7,900,2.9,-0.6
131.67,45.21,7,900,3.1,-0.5
125.45,12.30,7,2500,0.9,-0.8
122.02,28.49,6,1100,2.3,-1.2
111.02,51.31,7,700,3.5,-0.5
109.93,31.32,8,1100,2.1,-0.4
109.51,20.06,6,2500,1.3,-1.2
109.08,19.02,6,1500,1.5,-1.1
104.12,25.51,7,3100,1.3,-0.5
102.90,47.90,8,1500,2.5,-0.4
102.67,36.87,7,2700,1.9,-0.5
102.24,25.45,8,3700,0.9,-0.3
101.80,7.62,7,500,3.1,-1
101.80,8.16,7,500,3.1,-0.9
100.78,23.87,6,1100,1.9,-1.2
93.97,5.16,8,300,4.1,-0.4
93.66,41.70,8,2900,1.5,-0.3
92.41,14.39,7,2500,0.9,-1
91.85,17.26,6,3500,0.9,-1.3
89.15,3.09,6,700,2.3,-1.3
88.93,25.93,7,900,1.9,-0.9
87.40,25.65,7,2100,1.3,-0.6
86.97,15.32,7,1500,1.1,-0.8
85.51,53.44,7,500,3.7,-0.6
83.93,11.31,6,3100,0.7,-1.1
83.22,82.73,7,3300,3.1,-0.5
81.48,11.27,7,2700,0.7,-1
75.91,56.40,7,1500,2.9,-0.5
75.90,17.95,7,2500,0.9,-0.6
75.46,9.95,7,4100,0.5,-0.7
75.00,1.66,6,500,2.5,-1.1
74.78,25.89,7,2100,1.3,-0.5
74.70,19.36,6,1100,1.5,-1.1
69.90,8.14,6,3500,0.5,-1.1
68.64,3.77,7,700,1.5,-1
67.86,21.53,8,2500,1.1,-0.4
67.64,13.87,7,3300,0.7,-0.7
64.78,16.89,6,1100,1.3,-1.1
61.88,7.72,8,300,2.7,-0.3
60.87,16.50,7,1300,1.1,-0.6
59.33,21.83,7,2700,1.1,-0.5
58.69,26.05,8,3500,0.9,-0.4
58.26,10.54,7,1700,0.7,-0.6
57.57,16.99,8,1100,1.1,-0.4
53.63,37.30,7,3500,1.3,-0.5
50.26,21.62,8,2300,1.1,-0.4
49.55,16.55,8,1700,0.9,-0.3
49.47,37.23,7,2300,1.9,-0.5
48.60,1.49,6,300,2.7,-1.1
47.53,6.04,7,4100,0.3,-0.9
45.47,17.09,7,1100,1.1,-0.5
39.24,29.91,7,1500,1.5,-0.5
39.01,4.97,8,700,1.1,-0.3
38.40,4.92,7,2900,0.3,-1
37.52,6.05,7,3700,0.3,-0.8
34.38,1.90,8,300,1.5,-0.4
31.20,3.11,8,100,3.9,-0.3
30.54,23.74,8,700,1.5,-0.4
29.60,0.97,8,100,3.7,-0.4
29.44,6.06,7,3300,0.3,-0.7
28.70,0.34,7,100,4.1,-0.7
27.51,38.35,7,300,2.7,-0.8
27.30,0.33,7,100,3.9,-0.7
27.19,20.76,8,3100,0.7,-0.4
26.40,2.63,8,100,3.3,-0.3
25.10,4.61,7,1700,0.3,-0.6
24.80,0.81,8,100,3.1,-0.4
23.40,0.51,6,100,3.9,-1.2
23.20,2.31,8,100,2.9,-0.3
23.10,0.49,7,100,3.3,-1
22.98,1.80,7,500,0.7,-1
22.14,1.67,6,300,1.5,-1.3
21.70,4.53,7,100,3.1,-0.6
21.70,0.46,7,100,3.1,-1
21.60,2.15,8,100,2.7,-0.3
21.00,0.46,6,100,3.5,-1.2
20.90,4.63,7,1500,0.3,-0.6
19.87,9.05,7,3900,0.3,-0.5
18.40,1.84,8,100,2.3,-0.3
17.54,1.66,7,3700,0.1,-1
17.50,2.28,7,100,2.5,-0.5
17.50,0.38,7,100,2.5,-1
17.50,0.21,7,100,2.5,-0.7
16.70,4.64,7,1300,0.3,-0.6
15.20,1.52,8,100,1.9,-0.3
13.30,0.16,7,100,1.9,-0.7
12.77,2.04,6,4100,0.1,-1.2
12.44,1.98,6,3900,0.1,-1.3
12.00,0.40,8,100,1.5,-0.4
11.90,2.49,7,100,1.7,-0.6
10.50,0.13,7,100,1.5,-0.7
10.20,0.45,6,100,1.7,-1.1
9.96,3.05,8,3500,0.1,-0.3
9.10,0.20,7,100,1.3,-0.9
9.10,0.20,7,100,1.3,-1
7.57,9.12,8,2900,0.3,-0.4
6.39,3.06,8,3500,0.1,-0.4
5.40,0.12,6,100,0.9,-1.2
4.90,0.11,7,100,0.7,-1
0.80,0.03,8,100,0.1,-0.4
0.80,0.08,8,100,0.1,-0.3
0.70,0.02,7,100,0.1,-0.9
0.70,0.01,7,100,0.1,-0.7
0.70,0.15,7,100,0.1,-0.6
0.70,0.02,7,100,0.1,-1
0.60,0.03,6,100,0.1,-1.1
